93,Afghanistan,+AC0-1
9375,Afghanistan Cellular+AC0-AT,+AC0-1
9370,Afghanistan Cellular+AC0-AWCC,+AC0-1
9376,Afghanistan Cellular+AC0-Areeba,+AC0-1
9377,Afghanistan Cellular+AC0-Areeba,+AC0-1
9378,Afghanistan Cellular+AC0-Etisalat,+AC0-1
937,Afghanistan Cellular+AC0-Others,+AC0-1
9372,Afghanistan Cellular+AC0-Roshan,+AC0-1
3555370,+ACI-Albania,AMC+ACI-,+AC0-1
3555490,+ACI-Albania,AMC+ACI-,+AC0-1
3555491,+ACI-Albania,AMC+ACI-,+AC0-1
3555540,+ACI-Albania,AMC+ACI-,+AC0-1
35556150,+ACI-Albania,AMC+ACI-,+AC0-1
35556240,+ACI-Albania,AMC+ACI-,+AC0-1
35556293,+ACI-Albania,AMC+ACI-,+AC0-1
35556340,+ACI-Albania,AMC+ACI-,+AC0-1
35556445,+ACI-Albania,AMC+ACI-,+AC0-1
35556465,+ACI-Albania,AMC+ACI-,+AC0-1
35556550,+ACI-Albania,AMC+ACI-,+AC0-1
35556583,+ACI-Albania,AMC+ACI-,+AC0-1
35557043,+ACI-Albania,AMC+ACI-,+AC0-1
35557070,+ACI-Albania,AMC+ACI-,+AC0-1
35557094,+ACI-Albania,AMC+ACI-,+AC0-1
35557180,+ACI-Albania,AMC+ACI-,+AC0-1
35557260,+ACI-Albania,AMC+ACI-,+AC0-1
35557390,+ACI-Albania,AMC+ACI-,+AC0-1
35557463,+ACI-Albania,AMC+ACI-,+AC0-1
35557464,+ACI-Albania,AMC+ACI-,+AC0-1
35557543,+ACI-Albania,AMC+ACI-,+AC0-1
35557544,+ACI-Albania,AMC+ACI-,+AC0-1
35557584,+ACI-Albania,AMC+ACI-,+AC0-1
35557643,+ACI-Albania,AMC+ACI-,+AC0-1
35557644,+ACI-Albania,AMC+ACI-,+AC0-1
35557683,+ACI-Albania,AMC+ACI-,+AC0-1
35557770,+ACI-Albania,AMC+ACI-,+AC0-1
35557771,+ACI-Albania,AMC+ACI-,+AC0-1
35557843,+ACI-Albania,AMC+ACI-,+AC0-1
35557865,+ACI-Albania,AMC+ACI-,+AC0-1
35557943,+ACI-Albania,AMC+ACI-,+AC0-1
35557963,+ACI-Albania,AMC+ACI-,+AC0-1
35557993,+ACI-Albania,AMC+ACI-,+AC0-1
35558023,+ACI-Albania,AMC+ACI-,+AC0-1
35558073,+ACI-Albania,AMC+ACI-,+AC0-1
35558150,+ACI-Albania,AMC+ACI-,+AC0-1
35558151,+ACI-Albania,AMC+ACI-,+AC0-1
35558250,+ACI-Albania,AMC+ACI-,+AC0-1
35558323,+ACI-Albania,AMC+ACI-,+AC0-1
35558373,+ACI-Albania,AMC+ACI-,+AC0-1
35558424,+ACI-Albania,AMC+ACI-,+AC0-1
35558460,+ACI-Albania,AMC+ACI-,+AC0-1
35558484,+ACI-Albania,AMC+ACI-,+AC0-1
35558494,+ACI-Albania,AMC+ACI-,+AC0-1
35558540,+ACI-Albania,AMC+ACI-,+AC0-1
35558564,+ACI-Albania,AMC+ACI-,+AC0-1
35558580,+ACI-Albania,AMC+ACI-,+AC0-1
35558594,+ACI-Albania,AMC+ACI-,+AC0-1
35558624,+ACI-Albania,AMC+ACI-,+AC0-1
35558670,+ACI-Albania,AMC+ACI-,+AC0-1
35558693,+ACI-Albania,AMC+ACI-,+AC0-1
35558724,+ACI-Albania,AMC+ACI-,+AC0-1
35558764,+ACI-Albania,AMC+ACI-,+AC0-1
35558790,+ACI-Albania,AMC+ACI-,+AC0-1
35558824,+ACI-Albania,AMC+ACI-,+AC0-1
35558842,+ACI-Albania,AMC+ACI-,+AC0-1
35558852,+ACI-Albania,AMC+ACI-,+AC0-1
35558882,+ACI-Albania,AMC+ACI-,+AC0-1
35558924,+ACI-Albania,AMC+ACI-,+AC0-1
35558953,+ACI-Albania,AMC+ACI-,+AC0-1
35558983,+ACI-Albania,AMC+ACI-,+AC0-1
35559150,+ACI-Albania,AMC+ACI-,+AC0-1
35559240,+ACI-Albania,AMC+ACI-,+AC0-1
35559324,+ACI-Albania,AMC+ACI-,+AC0-1
35559360,+ACI-Albania,AMC+ACI-,+AC0-1
35559394,+ACI-Albania,AMC+ACI-,+AC0-1
35559424,+ACI-Albania,AMC+ACI-,+AC0-1
35559462,+ACI-Albania,AMC+ACI-,+AC0-1
35559492,+ACI-Albania,AMC+ACI-,+AC0-1
35559540,+ACI-Albania,AMC+ACI-,+AC0-1
35559572,+ACI-Albania,AMC+ACI-,+AC0-1
35559622,+ACI-Albania,AMC+ACI-,+AC0-1
35559664,+ACI-Albania,AMC+ACI-,+AC0-1
35559674,+ACI-Albania,AMC+ACI-,+AC0-1
35559684,+ACI-Albania,AMC+ACI-,+AC0-1
35559694,+ACI-Albania,AMC+ACI-,+AC0-1
35559722,+ACI-Albania,AMC+ACI-,+AC0-1
35559754,+ACI-Albania,AMC+ACI-,+AC0-1
35559770,+ACI-Albania,AMC+ACI-,+AC0-1
35559794,+ACI-Albania,AMC+ACI-,+AC0-1
35572780,+ACI-Albania,AMC+ACI-,+AC0-1
35581140,+ACI-Albania,AMC+ACI-,+AC0-1
35581141,+ACI-Albania,AMC+ACI-,+AC0-1
35581240,+ACI-Albania,AMC+ACI-,+AC0-1
35581241,+ACI-Albania,AMC+ACI-,+AC0-1
35581340,+ACI-Albania,AMC+ACI-,+AC0-1
35581341,+ACI-Albania,AMC+ACI-,+AC0-1
35581450,+ACI-Albania,AMC+ACI-,+AC0-1
35581451,+ACI-Albania,AMC+ACI-,+AC0-1
35581540,+ACI-Albania,AMC+ACI-,+AC0-1
3558290,+ACI-Albania,AMC+ACI-,+AC0-1
3558291,+ACI-Albania,AMC+ACI-,+AC0-1
3558340,+ACI-Albania,AMC+ACI-,+AC0-1
3558460,+ACI-Albania,AMC+ACI-,+AC0-1
3558550,+ACI-Albania,AMC+ACI-,+AC0-1
35586022,+ACI-Albania,AMC+ACI-,+AC0-1
35586070,+ACI-Albania,AMC+ACI-,+AC0-1
35586082,+ACI-Albania,AMC+ACI-,+AC0-1
