1264,Anguilla,Other,0.4097
1264235,Anguilla,Cellular,0.7944
1264469,Anguilla,Cellular,0.7944
1264476,Anguilla,Cellular,0.7944
1264536,Anguilla,Cellular,0.7944
1264537,Anguilla,Cellular,0.7944
1264538,Anguilla,Cellular,0.7944
1264539,Anguilla,Cellular,0.7944
1264543,Anguilla,Cellular,0.7944
126458,Anguilla,Cellular,0.7944
1264729,Anguilla,Cellular,0.7944
1264772,Anguilla,Cellular,0.7944
1264581,Anguilla,"Cellular Digicel",0.7526
1264582,Anguilla,"Cellular Digicel",0.7526
1264583,Anguilla,"Cellular Digicel",0.7526
1264584,Anguilla,"Cellular Digicel",0.7526
672,Antarctica,Other,21.6832
6723,Antarctica,"Norfolk Island",3.3944
54,Argentina,Other,0.1579
549,Argentina,Cellular,0.7820
54911,Argentina,"Cellular Buenos Aires",0.7820
54291,Argentina,"Bahia Blanca",0.0441
5411,Argentina,"Buenos Aires",0.0437
543489,Argentina,Campana,0.0437
542293,Argentina,Cities,0.0463
542302,Argentina,Cities,0.0463
542362,Argentina,Cities,0.0463
54237,Argentina,Cities,0.0463
54332,Argentina,Cities,0.0463
54343,Argentina,Cities,0.0463
543461,Argentina,Cities,0.0463
543462,Argentina,Cities,0.0463
543464,Argentina,Cities,0.0463
543476,Argentina,Cities,0.0463
543541,Argentina,Cities,0.0463
543543,Argentina,Cities,0.0463
543571,Argentina,Cities,0.0463
54372,Argentina,Cities,0.0463
543783,Argentina,Cities,0.0463
54379,Argentina,Cities,0.0463
54387400,Argentina,Cities,0.0463
54387401,Argentina,Cities,0.0463
5438742,Argentina,Cities,0.0463
54387431,Argentina,Cities,0.0463
54387432,Argentina,Cities,0.0463
54387434,Argentina,Cities,0.0463
54387435,Argentina,Cities,0.0463
54387436,Argentina,Cities,0.0463
54387437,Argentina,Cities,0.0463
543874384,Argentina,Cities,0.0463
543874385,Argentina,Cities,0.0463
543874386,Argentina,Cities,0.0463
543874387,Argentina,Cities,0.0463
543874388,Argentina,Cities,0.0463
54387439,Argentina,Cities,0.0463
54387495,Argentina,Cities,0.0463
54387497,Argentina,Cities,0.0463
54351,Argentina,Cordoba,0.0437
54358,Argentina,Cordoba,0.0437
54230,Argentina,"La Pampa",0.0437
54221,Argentina,"La Plata",0.0437
542323,Argentina,Lujan,0.0437
54223,Argentina,"Mar Del Plata",0.0437
54261,Argentina,Mendoza,0.0437
54299,Argentina,Neuquen,0.0437
54232,Argentina,Pilar,0.0437
54362,Argentina,Resistencia,0.0437
543722,Argentina,Resistencia,0.0437
54341,Argentina,Rosario,0.0437
54387,Argentina,Salta,0.1193
542652,Argentina,"San Luis",0.1193
542664,Argentina,"San Luis",0.1193
54342,Argentina,"Santa Fe",0.0437
54381,Argentina,Tucuman,0.0881
54348,Argentina,Zarate,0.0437
374,Armenia,Other,0.3947
3745,Armenia,Cellular,0.7967
3747,Armenia,Cellular,0.7967
3749,Armenia,Cellular,0.7967
37491,Armenia,"Cellular Armentel",0.7133
37496,Armenia,"Cellular Armentel",0.7133
37499,Armenia,"Cellular Armentel",0.7133
37497,Armenia,"Cellular Nagoni",0.5782
37455,Armenia,"Cellular Orange",0.7475
37495,Armenia,"Cellular Orange",0.7475
37477,Armenia,"Cellular Vivacell",0.7577
37493,Armenia,"Cellular Vivacell",0.7577
37494,Armenia,"Cellular Vivacell",0.7577
37498,Armenia,"Cellular Vivacell",0.7577
37447,Armenia,"N Karabakh",0.5687
37411,Armenia,Ucom,0.4483
37410,Armenia,Yerevan,0.3947
576731,Armenia,Colombia,0.1101
576732,Armenia,Colombia,0.1101
5767330,Armenia,Colombia,0.1101
5767331,Armenia,Colombia,0.1101
5767332,Armenia,Colombia,0.1101
5767333,Armenia,Colombia,0.1101
5767334,Armenia,Colombia,0.1101
5767335,Armenia,Colombia,0.1101
5767336,Armenia,Colombia,0.1101
5767337,Armenia,Colombia,0.1101
576734,Armenia,Colombia,0.1101
576735,Armenia,Colombia,0.1101
576736,Armenia,Colombia,0.1101
576737,Armenia,Colombia,0.1101
576738,Armenia,Colombia,0.1101
576739,Armenia,Colombia,0.1101
576740,Armenia,Colombia,0.1101
576741,Armenia,Colombia,0.1101
576744,Armenia,Colombia,0.1101
576745,Armenia,Colombia,0.1101
576746,Armenia,Colombia,0.1101
576747,Armenia,Colombia,0.1101
576748,Armenia,Colombia,0.1101
576749,Armenia,Colombia,0.1101
5769097,Armenia,Colombia,0.1101
57691460,Armenia,Colombia,0.1101
57691461,Armenia,Colombia,0.1101
297,Aruba,Other,0.3469
29756,Aruba,Cellular,0.8356
29759,Aruba,Cellular,0.8356
297600,Aruba,Cellular,0.8356
297622,Aruba,Cellular,0.8356
29766,Aruba,Cellular,0.8356
29769,Aruba,Cellular,0.8356
2979,Aruba,Cellular,0.8356
297630,Aruba,"Cellular Digicel",0.8062
297640,Aruba,"Cellular Digicel",0.8062
297641,Aruba,"Cellular Digicel",0.8062
29773,Aruba,"Cellular Digicel",0.8062
29774,Aruba,"Cellular Digicel",0.8062
61,Australia,Other,0.0642
614,Australia,Cellular,0.3212
61401,Australia,"Cellular Optus",0.3278
61402,Australia,"Cellular Optus",0.3278
61403,Australia,"Cellular Optus",0.3278
61411,Australia,"Cellular Optus",0.3278
61412,Australia,"Cellular Optus",0.3278
61413,Australia,"Cellular Optus",0.3278
61421,Australia,"Cellular Optus",0.3278
61422,Australia,"Cellular Optus",0.3278
61423,Australia,"Cellular Optus",0.3278
61431,Australia,"Cellular Optus",0.3278
61432,Australia,"Cellular Optus",0.3278
61434,Australia,"Cellular Optus",0.3278
61435,Australia,"Cellular Optus",0.3278
61466,Australia,"Cellular Optus",0.3278
614684,Australia,"Cellular Optus",0.3278
614685,Australia,"Cellular Optus",0.3278
614686,Australia,"Cellular Optus",0.3278
614687,Australia,"Cellular Optus",0.3278
614688,Australia,"Cellular Optus",0.3278
614689,Australia,"Cellular Optus",0.3278
61478,Australia,"Cellular Optus",0.3278
614790,Australia,"Cellular Optus",0.3278
614791,Australia,"Cellular Optus",0.3278
61481,Australia,"Cellular Optus",0.3278
61482,Australia,"Cellular Optus",0.3278
611,Australia,"Cellular Satellite",0.1656
6187,Australia,Adelaide,0.0620
61881,Australia,Adelaide,0.0620
61882,Australia,Adelaide,0.0620
61883,Australia,Adelaide,0.0620
61884,Australia,Adelaide,0.0620
6173,Australia,Brisbane,0.0620
61261,Australia,Canberra,0.0734
61262,Australia,Canberra,0.0734
6138,Australia,Melbourne,0.0620
6139,Australia,Melbourne,0.0620
6186,Australia,Perth,0.0620
61892,Australia,Perth,0.0620
61893,Australia,Perth,0.0620
61894,Australia,Perth,0.0620
6128,Australia,Sydney,0.0620
6129,Australia,Sydney,0.0620
43,Austria,Other,0.0441
43660,Austria,"Cellular Hutchinson",0.0910
4367833,Austria,"Cellular Hutchinson",0.0910
4367890,Austria,"Cellular Hutchinson",0.0910
4367891,Austria,"Cellular Hutchinson",0.0910
43681,Austria,"Cellular Orange",0.0910
43699,Austria,"Cellular Orange",0.0910
43650,Austria,"Cellular Telering",0.0910
43676,Austria,"Cellular Telering",0.0910
43677,Austria,"Cellular Telering",0.0910
43710,Austria,Premium,1.2045
43711,Austria,Premium,1.2045
43718,Austria,Premium,1.2045
43720,Austria,Premium,1.2045
43730,Austria,Premium,1.2045
43740,Austria,Premium,1.2045
43780,Austria,Premium,1.2045
43800,Austria,Premium,1.2045
43804,Austria,Premium,1.2045
43810,Austria,Premium,1.2045
43820,Austria,Premium,1.2045
43821,Austria,Premium,1.2045
43828,Austria,Premium,1.2045
431,Austria,Vienna,0.0441
994,Azerbaijan,Other,0.8257
99444,Azerbaijan,Cellular,1.3734
99460,Azerbaijan,Cellular,1.3734
99450,Azerbaijan,"Cellular Azercell",1.3448
99451,Azerbaijan,"Cellular Azercell",1.3448
99470,Azerbaijan,"Cellular Azerphone",1.3734
